customer_id,gender,age,estimated_salary,credit_score,products_number,tenure,credit_card,active_member,attrition,balance,country
15754105,Male,37,24495.03,650,1,5,0,0,0,106967.18,France
15703264,Male,44,74836.34,735,1,9,1,0,0,120681.63,France
15794413,Male,32,878.87,416,2,0,0,1,0,0.00,France
15650237,Female,32,89520.75,754,2,7,1,0,0,0.00,Spain
15759618,Female,48,149892.79,535,1,9,1,0,1,0.00,France
15811589,Male,42,180800.42,716,2,8,1,0,0,0.00,Spain
15689044,Male,37,98646.22,539,1,2,1,0,0,127609.59,France
15709368,Female,43,109041.53,614,2,6,1,1,0,0.00,France
15679145,Male,57,17941.16,706,1,7,1,0,1,0.00,Spain
15655007,Female,33,82996.47,758,2,7,0,0,0,0.00,France
15623595,Female,28,92067.35,586,2,2,1,1,0,0.00,Spain
15589975,Female,73,104719.66,646,1,6,0,1,0,97259.25,France
15804017,Female,33,112687.57,631,1,4,0,0,0,123246.70,Germany
15692132,Female,22,84699.56,717,1,6,0,1,0,101060.25,Spain
15641122,Male,30,83473.82,684,2,2,1,0,0,0.00,France
15630910,Female,49,47125.11,800,1,7,0,0,0,108007.36,France
15680772,Female,36,106977.80,721,2,2,1,1,0,0.00,Spain
15658929,Male,29,55582.54,683,1,0,1,0,1,133702.89,Spain
15585388,Male,31,139874.43,660,2,9,1,1,0,125189.75,Germany
15724623,Female,24,162503.48,704,1,7,1,0,1,113034.22,Germany
15588537,Female,41,196499.96,615,1,9,1,0,0,109013.23,Spain
15574692,Female,39,40721.24,667,2,2,1,0,1,0.00,Spain
15611325,Male,24,53134.30,682,2,9,0,0,0,57929.81,Germany
15587562,Female,29,164017.89,484,1,4,1,0,0,130114.39,France
15613172,Male,27,155996.96,628,2,5,1,0,0,95826.49,Germany
15651022,Male,44,5472.70,480,1,10,1,0,1,129608.57,Germany
15586310,Male,30,112187.11,578,1,4,1,0,0,169462.09,France
15625524,Male,40,146457.83,512,2,5,1,1,0,0.00,France
15755209,Female,35,27286.10,484,1,7,1,1,0,133868.21,Spain
15645248,Female,30,130553.47,510,2,0,1,1,0,0.00,France
15790355,Male,36,179351.89,606,2,5,0,0,0,190479.48,Germany
15762615,Female,40,94774.12,597,1,8,0,1,0,101993.12,Spain
15625426,Female,55,8080.85,754,1,3,1,0,1,161608.81,Germany
15716334,Female,45,19482.50,850,1,2,1,1,0,122311.21,Spain
15789669,Male,65,48071.61,510,2,2,1,1,0,0.00,France
15621075,Female,45,174531.27,778,2,1,1,0,0,162150.42,Germany
15810845,Male,42,55470.78,636,2,2,1,1,0,0.00,France
15719377,Female,50,8546.87,804,1,4,1,1,1,0.00,France
15654506,Male,32,95857.18,514,2,8,1,0,0,0.00,France
15771977,Female,39,194945.80,730,1,1,1,0,0,99010.67,France
15708710,Female,37,131521.72,525,1,0,0,1,0,0.00,Spain
15726676,Male,30,196108.51,616,2,5,0,1,0,0.00,Spain
15587421,Female,34,148564.76,687,2,7,1,0,0,111388.18,Germany
15726931,Female,41,92982.61,715,2,8,0,0,1,56214.85,France
15771086,Female,36,17675.36,512,2,3,1,0,0,84327.77,France
15756850,Male,40,114996.43,479,2,1,0,0,0,0.00,France
15702741,Male,32,86957.42,601,1,8,1,0,0,93012.89,France
15679200,Male,29,128077.80,580,2,9,1,0,0,61710.44,Spain
15594815,Male,35,600.36,807,1,3,1,1,0,174790.15,France
15635905,Female,32,43001.46,616,2,6,1,1,0,0.00,Spain
15777892,Male,37,158591.12,721,1,3,1,1,0,107720.64,Germany
15656176,Male,57,47847.19,501,2,10,1,1,0,0.00,France
15811127,Male,35,10488.44,521,1,6,1,0,0,96423.84,France
15604482,Male,30,5978.20,850,1,2,1,1,0,141040.01,Spain
15622911,Male,42,121409.06,759,1,4,0,1,0,105420.18,France
15600974,Male,50,146145.93,516,1,5,0,1,1,0.00,Spain
15727868,Female,38,14374.86,711,2,2,1,1,1,129022.06,France
15627801,Male,33,94670.77,512,1,3,1,0,0,176666.62,Spain
15773039,Male,37,179670.31,550,1,3,1,1,0,0.00,France
15755262,Female,41,199304.74,608,1,3,0,0,1,89763.84,Spain
15679531,Male,34,151954.39,618,1,5,1,1,0,134954.53,France
15684181,Male,45,142513.50,643,1,5,1,0,1,0.00,France
15612087,Male,45,158264.62,671,1,2,0,1,0,106376.85,France
15752047,Male,33,169381.90,689,2,2,1,0,0,161814.64,Germany
15624592,Male,31,169915.02,603,2,8,1,1,0,0.00,France
15573152,Female,41,88852.47,620,2,9,0,0,0,0.00,France
15594917,Female,34,40645.81,676,1,1,1,1,0,63095.01,France
15785542,Male,26,60427.30,572,2,4,0,0,0,118287.01,Germany
15723488,Male,47,157959.02,668,1,7,0,1,1,106854.21,Germany
15680920,Male,46,133007.34,695,1,7,1,0,0,49512.55,France
15786308,Female,33,176576.62,730,2,9,0,0,0,0.00,Spain
15659366,Male,43,34888.04,807,2,1,1,0,1,105799.32,France
15774854,Male,54,28737.71,592,1,8,1,1,1,0.00,France
15725311,Female,31,98178.57,726,2,9,1,1,0,114722.05,France
15787155,Male,30,125010.24,514,1,7,0,1,0,0.00,Spain
15727829,Male,42,167984.61,567,2,2,1,1,0,0.00,France
15733247,Male,33,4861.72,850,1,10,1,0,1,0.00,France
15568748,Male,45,108872.45,671,1,6,1,1,1,99564.22,Germany
15699029,Male,37,198252.88,670,2,4,1,0,0,170557.91,France
15774393,Female,30,26960.31,694,2,9,1,1,0,0.00,France
15676895,Female,39,85746.52,547,3,6,1,1,1,74596.15,Germany
15637753,Male,50,77206.25,751,1,2,1,0,1,96888.39,Germany
15605461,Female,29,61048.53,594,1,3,1,0,0,130830.22,Germany
15808473,Male,72,111981.19,673,2,1,0,1,0,0.00,France
15627000,Male,40,62232.60,610,2,0,1,0,0,0.00,France
15787174,Female,37,156105.03,512,2,1,0,1,0,0.00,France
15723886,Male,20,150135.38,767,2,3,0,1,0,119714.25,Germany
15704769,Female,67,93146.11,585,2,5,0,1,0,113978.97,France
15772896,Male,42,33462.94,763,1,6,1,0,1,100160.75,Germany
15711540,Female,29,144375.00,712,1,2,1,1,0,0.00,France
15764866,Female,43,55803.96,539,3,3,1,0,1,116220.50,Germany
15794056,Female,46,89048.46,668,3,2,1,0,1,0.00,France
15795149,Male,28,162812.16,703,2,2,0,1,0,81173.83,France
15812009,Male,38,136259.65,662,2,4,1,0,0,0.00,Spain
15651001,Female,39,124052.97,725,1,5,1,0,0,116803.80,Germany
15813844,Male,37,74158.80,703,2,8,0,1,0,105961.68,France
15596175,Male,67,45071.09,659,1,6,1,1,1,117411.60,Germany
15576269,Male,34,62030.06,523,2,7,1,0,0,0.00,Spain
15797219,Female,40,131953.23,635,1,10,1,0,1,123497.58,France
15685500,Male,26,79414.00,772,2,7,1,0,0,152400.51,Germany
15599792,Female,26,199638.56,545,2,1,1,1,0,0.00,France
15657566,Male,24,157577.29,634,1,8,1,1,0,103097.85,Germany
15772423,Male,54,134420.75,739,1,8,1,0,1,126418.14,Germany
15628112,Female,36,99805.99,771,1,5,0,0,0,77846.90,Germany
15753754,Female,34,97932.68,587,2,1,1,1,0,0.00,Spain
15793726,Female,79,170968.99,681,2,0,0,1,0,0.00,France
15694717,Male,37,57558.95,544,1,2,1,1,0,79731.91,Germany
15665834,Male,28,176713.47,696,1,8,0,0,0,0.00,Spain
15765297,Male,41,34283.23,766,2,0,0,1,0,0.00,Spain
15636684,Male,34,198637.34,727,2,10,1,1,0,0.00,France
15592979,Female,34,156917.12,671,2,6,0,0,0,37266.67,Germany
15750803,Female,30,50457.20,693,1,6,1,1,0,127992.25,France
15607178,Male,38,140075.55,850,1,3,1,1,0,54901.01,Germany
15713853,Male,42,65323.11,732,2,9,1,1,0,108748.08,Germany
15673481,Female,48,64323.24,726,1,6,1,0,0,99906.19,Spain
15686776,Female,32,14956.44,557,2,6,1,0,0,184686.41,France
15673693,Female,26,111879.21,682,1,0,0,1,0,110654.02,France
15700696,Male,31,18606.23,738,1,9,1,1,0,79019.80,Spain
15813163,Female,36,123137.01,531,1,9,1,0,0,99240.51,Spain
15653857,Male,34,148528.24,498,2,2,1,1,0,0.00,France
15777076,Male,36,13898.31,651,2,7,1,0,0,0.00,France
15717398,Female,39,81259.25,549,1,7,0,0,1,0.00,Spain
15799217,Female,35,161051.75,791,1,7,1,0,0,52436.20,Germany
15787071,Male,41,191599.67,650,2,9,0,1,0,0.00,Spain
15619955,Male,34,48559.19,733,3,3,1,0,1,100337.96,Germany
15796505,Female,34,186339.74,811,2,1,1,1,0,149297.19,Germany
15725166,Male,30,33159.37,707,2,8,1,0,0,0.00,France
15800116,Male,28,93883.53,712,1,4,0,1,0,145605.44,Germany
15758685,Female,37,110899.30,706,2,7,1,1,0,0.00,Spain
15694456,Male,62,11199.04,756,1,3,1,1,1,0.00,France
15767339,Female,53,189992.97,777,2,10,1,0,0,0.00,France
15683562,Male,35,164255.69,646,1,6,0,1,0,84026.86,France
15782210,Male,46,152167.79,714,1,1,1,0,1,0.00,France
15668893,Male,39,33949.67,782,2,8,1,1,0,0.00,France
15669169,Male,29,68143.93,775,2,10,1,1,0,0.00,Spain
15643024,Male,35,47251.79,479,1,4,1,1,1,138718.92,Germany
15699389,Male,42,25885.72,807,1,7,1,1,0,118274.71,France
15708608,Female,22,192633.85,799,2,8,0,1,0,174185.98,France
15626144,Male,40,34577.36,675,2,7,1,0,0,113208.86,France
15573112,Male,29,161229.84,602,1,5,1,0,0,103907.28,Spain
15790678,Female,32,100816.29,475,1,8,1,0,0,119023.28,France
15727556,Female,26,181694.44,744,1,5,1,1,0,166297.89,Spain
15697307,Male,34,79078.91,588,2,10,1,0,0,0.00,Spain
15652266,Male,42,137316.32,703,1,9,0,1,0,63227.00,Germany
15607098,Female,41,194926.86,747,2,5,1,0,0,94521.17,Spain
15655774,Male,27,51285.49,583,2,7,1,0,0,0.00,France
15590241,Female,34,150401.53,750,1,9,0,0,1,112822.26,Spain
15785819,Male,38,112491.96,681,2,3,1,1,0,0.00,France
15723654,Male,25,73656.38,773,1,2,1,0,0,135903.33,France
15774510,Female,31,106636.89,714,1,4,1,1,0,125169.26,France
15684173,Female,44,155853.52,687,3,7,1,0,1,0.00,Spain
15650068,Male,58,162599.51,511,1,0,1,1,0,149117.31,France
15811490,Male,33,103737.82,627,2,5,1,1,0,0.00,France
15803976,Female,31,160990.27,694,2,10,1,0,0,0.00,France
15682541,Female,36,15462.84,616,1,6,0,0,0,132311.71,Spain
15695699,Male,35,10334.05,687,2,8,1,0,0,0.00,France
15624188,Female,33,190686.16,712,2,6,1,1,0,0.00,France
15812191,Male,33,94440.45,553,1,4,0,0,0,118082.89,France
15636673,Male,31,28257.63,667,1,1,1,1,0,119266.69,France
15594898,Male,43,170034.95,731,1,2,1,1,1,0.00,France
15660211,Male,35,31824.29,629,2,7,1,0,0,156847.29,Germany
15773972,Male,50,127166.49,614,1,4,1,0,1,137104.47,France
15746726,Male,31,44937.01,438,1,8,1,0,0,78398.69,Germany
15712287,Female,80,188603.07,652,2,4,1,1,0,0.00,France
15702919,Male,30,145111.37,729,1,6,1,0,0,63669.42,Germany
15674398,Male,38,171463.83,642,2,3,0,0,0,0.00,France
15797960,Female,59,182822.50,806,1,0,1,0,0,135296.33,Germany
15631868,Male,36,87213.33,744,1,2,1,1,0,153804.44,Spain
15581539,Male,37,57175.32,474,2,3,0,0,0,0.00,Spain
15662736,Male,49,120540.83,559,1,2,1,0,1,147069.78,France
15666252,Male,42,28714.34,706,2,9,1,1,0,0.00,Spain
15677512,Female,22,85426.28,628,1,3,1,0,0,0.00,Spain
15626114,Male,24,46170.75,429,1,4,1,0,0,95741.75,France
15810834,Female,57,64448.36,525,1,2,1,1,0,145965.33,Spain
15678910,Female,30,16278.97,680,1,8,1,1,0,141441.75,France
15694408,Male,40,182855.42,749,1,1,1,0,1,139290.41,France
15585215,Female,31,50404.72,763,2,4,0,0,0,0.00,France
15682757,Male,30,107640.25,734,2,3,1,0,0,0.00,France
15736601,Male,35,134132.65,716,1,4,1,0,0,144428.87,France
15601848,Male,35,103480.69,594,2,2,1,0,0,0.00,France
15736008,Female,46,108761.05,644,1,9,1,0,1,95441.27,France
15669064,Male,35,179012.30,671,1,1,1,1,0,144848.74,Germany
15624528,Male,26,95145.14,664,2,7,1,1,0,116244.14,Germany
15598493,Male,50,72143.44,656,2,7,0,1,0,0.00,France
15601274,Female,40,19162.89,667,1,1,1,0,0,146502.07,Spain
15702669,Male,44,144680.18,663,2,2,0,1,0,117028.60,Germany
15728669,Female,30,177772.03,584,1,8,1,0,1,112013.81,Germany
15742668,Female,37,5597.94,626,1,6,1,0,0,108269.37,Spain
15697441,Male,29,116828.51,485,1,7,1,0,1,182123.79,France
15740476,Female,32,174652.51,659,2,3,0,1,0,150923.74,Germany
15648064,Male,33,2010.98,649,2,2,1,0,0,0.00,France
15636624,Female,39,14109.85,805,1,5,1,0,1,165272.13,Spain
15807923,Female,39,43527.40,716,1,10,1,0,1,115301.31,Germany
15745844,Female,40,86099.23,642,2,6,0,1,1,129502.49,Germany
15786170,Male,31,161574.19,659,1,4,0,0,0,118342.26,France
15681081,Female,47,38970.14,545,2,5,1,1,0,0.00,Spain
15684484,Male,22,127587.22,543,2,8,0,0,0,0.00,France
15785869,Female,25,30380.12,718,2,7,1,0,0,0.00,France
15763859,Female,43,90908.95,840,2,7,1,0,0,0.00,France
15658935,Female,34,138275.01,630,2,9,1,0,0,106937.05,Germany
15747358,Male,59,32171.79,643,1,3,1,1,0,170331.37,Germany
15735203,Female,32,126143.23,654,1,1,1,1,0,114510.85,Germany
15576256,Male,39,129892.93,582,2,5,1,1,0,0.00,France
15659420,Male,32,102416.84,659,2,3,1,1,0,107594.11,Spain
15593365,Male,39,18719.67,762,1,2,1,1,0,81273.13,Spain
15777352,Female,32,61936.22,568,1,7,1,0,0,169399.60,Spain
15812007,Male,25,78358.94,670,2,6,1,1,0,0.00,Spain
15625461,Female,45,147224.27,613,2,1,1,1,0,187841.99,France
15739438,Male,30,160979.66,539,2,0,1,0,0,0.00,France
15611759,Female,57,132298.49,850,2,8,1,1,0,126776.30,Spain
15661629,Male,34,174248.52,522,1,9,1,0,1,126436.29,Spain
15633950,Male,41,123547.28,737,1,1,1,1,0,101960.74,France
15592386,Male,58,32790.02,520,2,3,0,1,0,0.00,France
15803716,Male,28,181543.67,706,2,3,0,1,0,0.00,Spain
15696674,Female,45,2319.96,643,1,2,0,1,1,150842.93,Germany
15706365,Female,50,189543.19,648,1,9,1,1,0,102535.57,France
15745088,Female,29,10940.40,443,2,9,1,0,0,99027.61,Germany
15676715,Male,68,199493.38,640,2,9,1,1,0,0.00,France
15613085,Female,33,188193.25,628,1,3,1,1,0,0.00,Spain
15633537,Female,42,172572.64,540,2,9,1,0,0,87271.41,Germany
15594720,Female,35,189339.60,460,2,8,1,1,0,102742.91,Germany
15684042,Male,34,53512.16,636,2,2,0,1,0,40105.51,Germany
15583303,Female,29,34004.44,593,1,2,1,0,0,152265.43,France
15611579,Male,42,10598.29,801,1,4,1,1,0,141947.67,Spain
15774696,Female,75,113428.77,640,2,1,0,1,0,106307.91,Germany
15694506,Male,31,183487.98,611,2,0,1,1,0,107884.81,Germany
15688074,Male,31,187658.09,802,1,1,1,1,0,125013.72,Germany
15759537,Male,35,172459.39,717,2,7,1,1,0,58469.37,Germany
15758449,Female,39,21016.00,769,1,8,0,1,0,0.00,France
15583456,Male,45,122381.02,745,3,10,1,1,1,117231.63,Germany
15667871,Male,35,128123.66,572,1,4,1,0,0,152390.26,Spain
15677371,Female,30,19570.63,629,1,2,1,0,0,34013.63,Spain
15629677,Female,39,188150.60,687,3,2,0,0,1,0.00,Spain
15713578,Female,50,111020.24,483,2,9,1,1,0,0.00,France
15591509,Male,36,123775.15,690,2,7,1,0,0,101583.11,France
15568240,Female,30,146700.22,492,2,10,0,1,0,77168.87,Germany
15622993,Male,28,145251.35,709,2,8,1,0,0,124695.72,Germany
15689294,Male,44,82463.69,705,1,3,1,0,0,105934.96,Germany
15720910,Female,66,15928.49,560,1,9,1,1,0,0.00,France
15721181,Male,46,45886.33,611,2,6,1,0,0,0.00,Spain
15776433,Male,62,186489.95,730,2,2,1,1,0,0.00,Spain
15748936,Female,45,162922.65,709,2,2,0,1,0,0.00,Spain
15717225,Female,21,9262.77,544,2,10,1,0,0,161525.96,France
15685226,Female,29,84932.40,712,1,7,1,1,0,147199.07,Germany
15785611,Male,38,71557.12,752,1,3,1,1,0,183102.29,Germany
15573456,Male,46,77405.95,648,2,9,1,0,1,127209.00,Spain
15684548,Male,38,417.41,556,2,8,0,0,1,0.00,Spain
15620505,Female,24,71405.17,594,1,0,1,1,0,97378.54,Spain
15807432,Female,37,153400.24,645,2,2,0,1,0,136925.09,Germany
15584766,Male,33,371.05,557,1,3,1,1,0,54503.55,France
15612187,Male,32,67789.99,547,1,8,1,0,0,155726.85,Germany
15762218,Female,39,145894.90,701,2,9,0,1,0,0.00,France
15646372,Female,66,183840.51,616,1,1,1,0,1,135842.41,France
15690452,Male,52,108887.44,605,1,1,1,0,0,63349.75,France
15747795,Female,38,154071.27,593,1,4,1,1,0,129499.42,Germany
15781589,Male,52,179291.85,751,2,8,0,1,0,0.00,Spain
15732674,Male,36,56937.43,443,2,6,0,1,0,70438.01,Spain
15642291,Male,23,112239.03,685,2,8,1,1,0,0.00,France
15692761,Male,36,45909.87,718,1,9,1,0,0,0.00,France
15578045,Female,49,173779.25,538,1,9,0,0,1,141434.04,Spain
15745354,Female,37,125696.26,611,2,4,1,0,0,0.00,Spain
15701376,Male,37,159585.61,668,2,10,1,1,0,152958.29,Germany
15691625,Female,41,106761.47,537,1,3,1,0,0,138306.34,Germany
15566594,Male,23,129590.18,709,2,10,0,0,0,0.00,Spain
15760431,Male,38,80006.65,850,2,1,1,1,0,0.00,France
15686302,Female,31,140451.52,745,1,3,1,1,0,124328.84,Spain
